teste;name;type;Str;Dex;Int;Faith;Luck;Physical;Magic;Fire;Lightning;Dark
;Dagger;Dagger;14;98;0;0;0;116;0;0;0;0
;Heavy Dagger;Dagger;100.8;0;0;0;0;107.3;0;0;0;0
;Sharp Dagger;Dagger;5.5;147;0;0;0;107.3;0;0;0;0
;Refined Dagger;Dagger;84.8;84.8;0;0;0;104.4;0;0;0;0
;Simple Dagger;Dagger;13;91;112;0;0;63;72.45;0;0;0
;Crystal Dagger;Dagger;10;70;132;0;0;59.85;81.9;0;0;0
;Fire Dagger;Dagger;0;0;0;0;0;120.45;0;120.45;0;0
;Chaos Dagger;Dagger;12;84;88;88;0;63;0;81.9;0;0
;Lightning Dagger;Dagger;10;70;0;132;0;59.85;0;0;81.9;0
;Deep Dagger;Dagger;0;0;0;0;0;120.45;0;0;0;120.45
;Dark Dagger;Dagger;12;84;88;88;0;63;0;0;0;81.9
;Poison Dagger;Dagger;14;98;0;0;0;89.9;0;0;0;0
;Blood Dagger;Dagger;14;98;0;0;0;89.9;0;0;0;0
;Raw Dagger;Dagger;0;0;0;0;0;145;0;0;0;0
;Blessed Dagger;Dagger;11;77;0;104;0;81.9;0;0;0;0
;Hollow Dagger;Dagger;14;98;0;0;36;110.2;0;0;0;0
;Bandit's Knife;Dagger;35;42;0;0;0;140;0;0;0;0
;Heavy Bandit's Knife;Dagger;69.3;0;0;0;0;129.5;0;0;0;0
;Sharp Bandit's Knife;Dagger;13.2;63;0;0;0;129.5;0;0;0;0
;Refined Bandit's Knife;Dagger;59.2;59.2;0;0;0;126;0;0;0;0
;Simple Bandit's Knife;Dagger;32.5;39;77;0;0;75;86.25;0;0;0
;Crystal Bandit's Knife;Dagger;25;30;90.75;0;0;71.25;97.5;0;0;0
;Fire Bandit's Knife;Dagger;0;0;0;0;0;127.05;0;127.05;0;0
;Chaos Bandit's Knife;Dagger;30;36;60.5;60.5;0;75;0;97.5;0;0
;Lightning Bandit's Knife;Dagger;25;30;0;90.75;0;71.25;0;0;97.5;0
;Deep Bandit's Knife;Dagger;0;0;0;0;0;127.05;0;0;0;127.05
;Dark Bandit's Knife;Dagger;30;36;60.5;60.5;0;75;0;0;0;97.5
;Poison Bandit's Knife;Dagger;35;42;0;0;0;108.5;0;0;0;0
;Blood Bandit's Knife;Dagger;35;42;0;0;0;108.5;0;0;0;0
;Raw Bandit's Knife;Dagger;0;0;0;0;0;175;0;0;0;0
